year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2024,October '23,783.0,1378.0,963.0,415.0,221057.0,282.0,160.0,1.76,Alcona,2,0
2024,November '23,772.0,1361.0,950.0,411.0,218711.0,283.0,161.0,1.76,Alcona,2,0
2024,December '23,783.0,1379.0,967.0,412.0,223222.0,285.0,162.0,1.76,Alcona,2,0
2024,January '24,779.0,1374.0,969.0,405.0,217379.0,279.0,158.0,1.76,Alcona,2,0
2024,February '24,798.0,1387.0,980.0,407.0,219927.0,276.0,159.0,1.74,Alcona,2,0
2024,March '24,797.0,1388.0,987.0,401.0,218650.0,274.0,158.0,1.74,Alcona,2,0
2024,April '24,795.0,1397.0,993.0,404.0,218558.0,275.0,156.0,1.76,Alcona,2,0
2024,May '24,783.0,1355.0,972.0,383.0,215620.0,275.0,159.0,1.73,Alcona,2,0
2024,June '24,784.0,1373.0,980.0,393.0,218299.0,278.0,159.0,1.75,Alcona,2,0
2024,July '24,785.0,1381.0,981.0,400.0,217620.0,277.0,158.0,1.76,Alcona,2,0
2024,August '24,794.0,1390.0,990.0,400.0,217389.0,274.0,156.0,1.75,Alcona,2,0
2024,September '24,804.0,1404.0,1000.0,404.0,218723.0,272.0,156.0,1.75,Alcona,2,0
2025,October '24,799.0,1418.0,1008.0,410.0,218295.0,273.0,154.0,1.77,Alcona,2,0
2025,November '24,794.0,1407.0,999.0,408.0,224760.0,283.0,160.0,1.77,Alcona,2,0
2025,December '24,801.0,1419.0,1008.0,411.0,228398.0,285.0,161.0,1.77,Alcona,2,0
2025,January '25,831.0,1466.0,1040.0,426.0,231805.0,279.0,158.0,1.76,Alcona,2,0
2025,February '25,824.0,1439.0,1029.0,410.0,230128.0,279.0,160.0,1.75,Alcona,2,0
2025,March '25,817.0,1430.0,1019.0,411.0,230120.0,282.0,161.0,1.75,Alcona,2,0
2025,April '25,814.0,1428.0,1022.0,406.0,230601.0,283.0,161.0,1.75,Alcona,2,0
2025,May '25,821.0,1444.0,1026.0,418.0,228150.0,278.0,158.0,1.76,Alcona,2,0
2025,June '25,807.0,1434.0,1011.0,423.0,228271.0,283.0,159.0,1.78,Alcona,2,0
2025,July '25,806.0,1422.0,1011.0,411.0,227143.0,282.0,160.0,1.76,Alcona,2,0
2025,August '25,813.0,1438.0,1017.0,421.0,230933.0,284.0,161.0,1.77,Alcona,2,0
2025,September '25,805.0,1428.0,1010.0,418.0,223363.0,277.0,156.0,1.77,Alcona,2,0
2026,October '25,778.0,1363.0,969.0,394.0,221825.0,285.0,163.0,1.75,Alcona,2,0
2026,November '25,766.0,1352.0,955.0,397.0,223387.0,292.0,165.0,1.77,Alcona,2,0
2026,December '25,744.0,1322.0,935.0,387.0,210879.0,283.0,160.0,1.78,Alcona,2,0
2024,October '23,783.0,1378.0,963.0,415.0,221057.0,282.0,160.0,1.76,Alcona,2,1
2024,November '23,772.0,1361.0,950.0,411.0,218711.0,283.0,161.0,1.76,Alcona,2,1
2024,December '23,783.0,1379.0,967.0,412.0,223222.0,285.0,162.0,1.76,Alcona,2,1
2024,January '24,779.0,1374.0,969.0,405.0,217379.0,279.0,158.0,1.76,Alcona,2,1
2024,February '24,798.0,1387.0,980.0,407.0,219927.0,276.0,159.0,1.74,Alcona,2,1
2024,March '24,797.0,1388.0,987.0,401.0,218650.0,274.0,158.0,1.74,Alcona,2,1
2024,April '24,795.0,1397.0,993.0,404.0,218558.0,275.0,156.0,1.76,Alcona,2,1
2024,May '24,783.0,1355.0,972.0,383.0,215620.0,275.0,159.0,1.73,Alcona,2,1
2024,June '24,784.0,1373.0,980.0,393.0,218299.0,278.0,159.0,1.75,Alcona,2,1
2024,July '24,785.0,1381.0,981.0,400.0,217620.0,277.0,158.0,1.76,Alcona,2,1
2024,August '24,794.0,1390.0,990.0,400.0,217389.0,274.0,156.0,1.75,Alcona,2,1
2024,September '24,804.0,1404.0,1000.0,404.0,218723.0,272.0,156.0,1.75,Alcona,2,1
2025,October '24,799.0,1418.0,1008.0,410.0,218295.0,273.0,154.0,1.77,Alcona,2,1
2025,November '24,794.0,1407.0,999.0,408.0,224760.0,283.0,160.0,1.77,Alcona,2,1
2025,December '24,801.0,1419.0,1008.0,411.0,228398.0,285.0,161.0,1.77,Alcona,2,1
2025,January '25,831.0,1466.0,1040.0,426.0,231805.0,279.0,158.0,1.76,Alcona,2,1
2025,February '25,824.0,1439.0,1029.0,410.0,230128.0,279.0,160.0,1.75,Alcona,2,1
2025,March '25,817.0,1430.0,1019.0,411.0,230120.0,282.0,161.0,1.75,Alcona,2,1
2025,April '25,814.0,1428.0,1022.0,406.0,230601.0,283.0,161.0,1.75,Alcona,2,1
2025,May '25,821.0,1444.0,1026.0,418.0,228150.0,278.0,158.0,1.76,Alcona,2,1
2025,June '25,807.0,1434.0,1011.0,423.0,228271.0,283.0,159.0,1.78,Alcona,2,1
2025,July '25,806.0,1422.0,1011.0,411.0,227143.0,282.0,160.0,1.76,Alcona,2,1
2025,August '25,813.0,1438.0,1017.0,421.0,230933.0,284.0,161.0,1.77,Alcona,2,1
2025,September '25,805.0,1428.0,1010.0,418.0,223363.0,277.0,156.0,1.77,Alcona,2,1
2026,October '25,778.0,1363.0,969.0,394.0,221825.0,285.0,163.0,1.75,Alcona,2,1
2026,November '25,766.0,1352.0,955.0,397.0,223387.0,292.0,165.0,1.77,Alcona,2,1
2026,December '25,744.0,1322.0,935.0,387.0,210879.0,283.0,160.0,1.78,Alcona,2,1
2024,October '23,409.0,716.0,492.0,224.0,114736.0,281.0,160.0,1.75,Alger,3,0
2024,November '23,410.0,734.0,496.0,238.0,116097.0,283.0,158.0,1.79,Alger,3,0
2024,December '23,417.0,746.0,504.0,242.0,122112.0,293.0,164.0,1.79,Alger,3,0
2024,January '24,420.0,752.0,514.0,238.0,116211.0,277.0,155.0,1.79,Alger,3,0
2024,February '24,423.0,758.0,522.0,236.0,119192.0,282.0,157.0,1.79,Alger,3,0
2024,March '24,428.0,776.0,530.0,246.0,120387.0,281.0,155.0,1.81,Alger,3,0
2024,April '24,425.0,750.0,523.0,227.0,119003.0,280.0,159.0,1.76,Alger,3,0
2024,May '24,420.0,739.0,522.0,217.0,120947.0,288.0,164.0,1.76,Alger,3,0
2024,June '24,419.0,741.0,519.0,222.0,119828.0,286.0,162.0,1.77,Alger,3,0
2024,July '24,423.0,752.0,522.0,230.0,120587.0,285.0,160.0,1.78,Alger,3,0
2024,August '24,417.0,749.0,516.0,233.0,116145.0,279.0,155.0,1.8,Alger,3,0
2024,September '24,418.0,749.0,509.0,240.0,117197.0,280.0,156.0,1.79,Alger,3,0
2025,October '24,418.0,762.0,513.0,249.0,118997.0,285.0,156.0,1.82,Alger,3,0
2025,November '24,425.0,771.0,520.0,251.0,120199.0,283.0,156.0,1.81,Alger,3,0
2025,December '24,442.0,819.0,547.0,272.0,130397.0,295.0,159.0,1.85,Alger,3,0
2025,January '25,443.0,816.0,549.0,267.0,129733.0,293.0,159.0,1.84,Alger,3,0
2025,February '25,450.0,818.0,558.0,260.0,130663.0,290.0,160.0,1.82,Alger,3,0
2025,March '25,455.0,829.0,562.0,267.0,129927.0,286.0,157.0,1.82,Alger,3,0
2025,April '25,445.0,817.0,551.0,266.0,130728.0,294.0,160.0,1.84,Alger,3,0
2025,May '25,440.0,806.0,540.0,266.0,125334.0,285.0,156.0,1.83,Alger,3,0
2025,June '25,438.0,797.0,538.0,259.0,124860.0,285.0,157.0,1.82,Alger,3,0
2025,July '25,419.0,748.0,509.0,239.0,122975.0,293.0,164.0,1.79,Alger,3,0
2025,August '25,405.0,717.0,492.0,225.0,116332.0,287.0,162.0,1.77,Alger,3,0
2025,September '25,407.0,720.0,490.0,230.0,116264.0,286.0,161.0,1.77,Alger,3,0
2026,October '25,391.0,688.0,469.0,219.0,109617.0,280.0,159.0,1.76,Alger,3,0
2026,November '25,370.0,636.0,444.0,192.0,104483.0,282.0,164.0,1.72,Alger,3,0
2026,December '25,386.0,681.0,467.0,214.0,109410.0,283.0,161.0,1.76,Alger,3,0
2024,October '23,409.0,716.0,492.0,224.0,114736.0,281.0,160.0,1.75,Alger,3,1
2024,November '23,410.0,734.0,496.0,238.0,116097.0,283.0,158.0,1.79,Alger,3,1
2024,December '23,417.0,746.0,504.0,242.0,122112.0,293.0,164.0,1.79,Alger,3,1
2024,January '24,420.0,752.0,514.0,238.0,116211.0,277.0,155.0,1.79,Alger,3,1
2024,February '24,423.0,758.0,522.0,236.0,119192.0,282.0,157.0,1.79,Alger,3,1
2024,March '24,428.0,776.0,530.0,246.0,120387.0,281.0,155.0,1.81,Alger,3,1
2024,April '24,425.0,750.0,523.0,227.0,119003.0,280.0,159.0,1.76,Alger,3,1
2024,May '24,420.0,739.0,522.0,217.0,120947.0,288.0,164.0,1.76,Alger,3,1
2024,June '24,419.0,741.0,519.0,222.0,119828.0,286.0,162.0,1.77,Alger,3,1
2024,July '24,423.0,752.0,522.0,230.0,120587.0,285.0,160.0,1.78,Alger,3,1
2024,August '24,417.0,749.0,516.0,233.0,116145.0,279.0,155.0,1.8,Alger,3,1
2024,September '24,418.0,749.0,509.0,240.0,117197.0,280.0,156.0,1.79,Alger,3,1
2025,October '24,418.0,762.0,513.0,249.0,118997.0,285.0,156.0,1.82,Alger,3,1
2025,November '24,425.0,771.0,520.0,251.0,120199.0,283.0,156.0,1.81,Alger,3,1
2025,December '24,442.0,819.0,547.0,272.0,130397.0,295.0,159.0,1.85,Alger,3,1
2025,January '25,443.0,816.0,549.0,267.0,129733.0,293.0,159.0,1.84,Alger,3,1
2025,February '25,450.0,818.0,558.0,260.0,130663.0,290.0,160.0,1.82,Alger,3,1
2025,March '25,455.0,829.0,562.0,267.0,129927.0,286.0,157.0,1.82,Alger,3,1
2025,April '25,445.0,817.0,551.0,266.0,130728.0,294.0,160.0,1.84,Alger,3,1
2025,May '25,440.0,806.0,540.0,266.0,125334.0,285.0,156.0,1.83,Alger,3,1
2025,June '25,438.0,797.0,538.0,259.0,124860.0,285.0,157.0,1.82,Alger,3,1
2025,July '25,419.0,748.0,509.0,239.0,122975.0,293.0,164.0,1.79,Alger,3,1
2025,August '25,405.0,717.0,492.0,225.0,116332.0,287.0,162.0,1.77,Alger,3,1
2025,September '25,407.0,720.0,490.0,230.0,116264.0,286.0,161.0,1.77,Alger,3,1
2026,October '25,391.0,688.0,469.0,219.0,109617.0,280.0,159.0,1.76,Alger,3,1
2026,November '25,370.0,636.0,444.0,192.0,104483.0,282.0,164.0,1.72,Alger,3,1
2026,December '25,386.0,681.0,467.0,214.0,109410.0,283.0,161.0,1.76,Alger,3,1
2024,October '23,5307.0,10752.0,6143.0,4609.0,1790913.0,337.0,167.0,2.03,Allegan,4,0
2024,November '23,5311.0,10731.0,6163.0,4568.0,1799069.0,339.0,168.0,2.02,Allegan,4,0
2024,December '23,5334.0,10777.0,6202.0,4575.0,1826091.0,342.0,169.0,2.02,Allegan,4,0
2024,January '24,5354.0,10766.0,6205.0,4561.0,1786760.0,334.0,166.0,2.01,Allegan,4,0
2024,February '24,5386.0,10818.0,6253.0,4565.0,1809890.0,336.0,167.0,2.01,Allegan,4,0
2024,March '24,5411.0,10830.0,6305.0,4525.0,1813207.0,335.0,167.0,2.0,Allegan,4,0
2024,April '24,5405.0,10830.0,6311.0,4519.0,1812854.0,335.0,167.0,2.0,Allegan,4,0
2024,May '24,5358.0,10716.0,6243.0,4473.0,1795237.0,335.0,168.0,2.0,Allegan,4,0
2024,June '24,5350.0,10693.0,6227.0,4466.0,1787132.0,334.0,167.0,2.0,Allegan,4,0
2024,July '24,5379.0,10672.0,6223.0,4449.0,1812277.0,337.0,170.0,1.98,Allegan,4,0
2024,August '24,5450.0,10759.0,6267.0,4492.0,1795476.0,329.0,167.0,1.97,Allegan,4,0
2024,September '24,5427.0,10820.0,6257.0,4563.0,1815913.0,335.0,168.0,1.99,Allegan,4,0
2025,October '24,5503.0,11134.0,6454.0,4680.0,1872273.0,340.0,168.0,2.02,Allegan,4,0
2025,November '24,5598.0,11427.0,6624.0,4803.0,1907732.0,341.0,167.0,2.04,Allegan,4,0
2025,December '24,5660.0,11501.0,6707.0,4794.0,1931573.0,341.0,168.0,2.03,Allegan,4,0
2025,January '25,5713.0,11627.0,6759.0,4868.0,1932002.0,338.0,166.0,2.04,Allegan,4,0
2025,February '25,5819.0,11808.0,6885.0,4923.0,1984238.0,341.0,168.0,2.03,Allegan,4,0
2025,March '25,5841.0,11769.0,6915.0,4854.0,1948459.0,334.0,166.0,2.01,Allegan,4,0
2025,April '25,5758.0,11546.0,6797.0,4749.0,1921667.0,334.0,166.0,2.01,Allegan,4,0
2025,May '25,5708.0,11447.0,6747.0,4700.0,1866960.0,327.0,163.0,2.01,Allegan,4,0
2025,June '25,5682.0,11424.0,6691.0,4733.0,1898128.0,334.0,166.0,2.01,Allegan,4,0
2025,July '25,5666.0,11426.0,6657.0,4769.0,1935678.0,342.0,169.0,2.02,Allegan,4,0
2025,August '25,5716.0,11475.0,6706.0,4769.0,1943996.0,340.0,169.0,2.01,Allegan,4,0
2025,September '25,5684.0,11397.0,6641.0,4756.0,1913582.0,337.0,168.0,2.01,Allegan,4,0
2026,October '25,5606.0,11219.0,6572.0,4647.0,1933056.0,345.0,172.0,2.0,Allegan,4,0
2026,November '25,5548.0,11119.0,6504.0,4615.0,1913516.0,345.0,172.0,2.0,Allegan,4,0
2026,December '25,5450.0,10921.0,6389.0,4532.0,1841687.0,338.0,169.0,2.0,Allegan,4,0
2024,October '23,5307.0,10752.0,6143.0,4609.0,1790913.0,337.0,167.0,2.03,Allegan,4,1
2024,November '23,5311.0,10731.0,6163.0,4568.0,1799069.0,339.0,168.0,2.02,Allegan,4,1
2024,December '23,5334.0,10777.0,6202.0,4575.0,1826091.0,342.0,169.0,2.02,Allegan,4,1
2024,January '24,5354.0,10766.0,6205.0,4561.0,1786760.0,334.0,166.0,2.01,Allegan,4,1
2024,February '24,5386.0,10818.0,6253.0,4565.0,1809890.0,336.0,167.0,2.01,Allegan,4,1
2024,March '24,5411.0,10830.0,6305.0,4525.0,1813207.0,335.0,167.0,2.0,Allegan,4,1
2024,April '24,5405.0,10830.0,6311.0,4519.0,1812854.0,335.0,167.0,2.0,Allegan,4,1
2024,May '24,5358.0,10716.0,6243.0,4473.0,1795237.0,335.0,168.0,2.0,Allegan,4,1
2024,June '24,5350.0,10693.0,6227.0,4466.0,1787132.0,334.0,167.0,2.0,Allegan,4,1
2024,July '24,5379.0,10672.0,6223.0,4449.0,1812277.0,337.0,170.0,1.98,Allegan,4,1
2024,August '24,5450.0,10759.0,6267.0,4492.0,1795476.0,329.0,167.0,1.97,Allegan,4,1
2024,September '24,5427.0,10820.0,6257.0,4563.0,1815913.0,335.0,168.0,1.99,Allegan,4,1
2025,October '24,5503.0,11134.0,6454.0,4680.0,1872273.0,340.0,168.0,2.02,Allegan,4,1
2025,November '24,5598.0,11427.0,6624.0,4803.0,1907732.0,341.0,167.0,2.04,Allegan,4,1
2025,December '24,5660.0,11501.0,6707.0,4794.0,1931573.0,341.0,168.0,2.03,Allegan,4,1
2025,January '25,5713.0,11627.0,6759.0,4868.0,1932002.0,338.0,166.0,2.04,Allegan,4,1
2025,February '25,5819.0,11808.0,6885.0,4923.0,1984238.0,341.0,168.0,2.03,Allegan,4,1
2025,March '25,5841.0,11769.0,6915.0,4854.0,1948459.0,334.0,166.0,2.01,Allegan,4,1
2025,April '25,5758.0,11546.0,6797.0,4749.0,1921667.0,334.0,166.0,2.01,Allegan,4,1
2025,May '25,5708.0,11447.0,6747.0,4700.0,1866960.0,327.0,163.0,2.01,Allegan,4,1
2025,June '25,5682.0,11424.0,6691.0,4733.0,1898128.0,334.0,166.0,2.01,Allegan,4,1
2025,July '25,5666.0,11426.0,6657.0,4769.0,1935678.0,342.0,169.0,2.02,Allegan,4,1
2025,August '25,5716.0,11475.0,6706.0,4769.0,1943996.0,340.0,169.0,2.01,Allegan,4,1
2025,September '25,5684.0,11397.0,6641.0,4756.0,1913582.0,337.0,168.0,2.01,Allegan,4,1
2026,October '25,5606.0,11219.0,6572.0,4647.0,1933056.0,345.0,172.0,2.0,Allegan,4,1
2026,November '25,5548.0,11119.0,6504.0,4615.0,1913516.0,345.0,172.0,2.0,Allegan,4,1
2026,December '25,5450.0,10921.0,6389.0,4532.0,1841687.0,338.0,169.0,2.0,Allegan,4,1
2024,October '23,2469.0,4237.0,2860.0,1377.0,689952.0,279.0,163.0,1.72,Alpena,5,0
2024,November '23,2456.0,4216.0,2842.0,1374.0,693068.0,282.0,164.0,1.72,Alpena,5,0
2024,December '23,2464.0,4245.0,2858.0,1387.0,696469.0,283.0,164.0,1.72,Alpena,5,0
2024,January '24,2450.0,4226.0,2840.0,1386.0,674670.0,275.0,160.0,1.72,Alpena,5,0
2024,February '24,2449.0,4248.0,2850.0,1398.0,667167.0,272.0,157.0,1.73,Alpena,5,0
2024,March '24,2452.0,4238.0,2849.0,1389.0,669683.0,273.0,158.0,1.73,Alpena,5,0
2024,April '24,2431.0,4228.0,2834.0,1394.0,672620.0,277.0,159.0,1.74,Alpena,5,0
2024,May '24,2394.0,4164.0,2795.0,1369.0,659997.0,276.0,159.0,1.74,Alpena,5,0
2024,June '24,2418.0,4224.0,2832.0,1392.0,659997.0,273.0,156.0,1.75,Alpena,5,0
2024,July '24,2440.0,4251.0,2862.0,1389.0,674977.0,277.0,159.0,1.74,Alpena,5,0
2024,August '24,2426.0,4199.0,2833.0,1366.0,665467.0,274.0,158.0,1.73,Alpena,5,0
2024,September '24,2427.0,4207.0,2844.0,1363.0,670391.0,276.0,159.0,1.73,Alpena,5,0
2025,October '24,2431.0,4223.0,2862.0,1361.0,665281.0,274.0,158.0,1.74,Alpena,5,0
2025,November '24,2430.0,4180.0,2845.0,1335.0,669385.0,275.0,160.0,1.72,Alpena,5,0
2025,December '24,2456.0,4209.0,2869.0,1340.0,677358.0,276.0,161.0,1.71,Alpena,5,0
2025,January '25,2479.0,4251.0,2885.0,1366.0,676394.0,273.0,159.0,1.71,Alpena,5,0
2025,February '25,2490.0,4270.0,2909.0,1361.0,677253.0,272.0,159.0,1.71,Alpena,5,0
2025,March '25,2517.0,4328.0,2947.0,1381.0,672879.0,267.0,155.0,1.72,Alpena,5,0
2025,April '25,2490.0,4270.0,2925.0,1345.0,704807.0,283.0,165.0,1.71,Alpena,5,0
2025,May '25,2467.0,4226.0,2899.0,1327.0,663987.0,269.0,157.0,1.71,Alpena,5,0
2025,June '25,2466.0,4227.0,2889.0,1338.0,679053.0,275.0,161.0,1.71,Alpena,5,0
2025,July '25,2423.0,4170.0,2844.0,1326.0,684246.0,282.0,164.0,1.72,Alpena,5,0
2025,August '25,2443.0,4245.0,2876.0,1369.0,696463.0,285.0,164.0,1.74,Alpena,5,0
2025,September '25,2450.0,4264.0,2880.0,1384.0,700048.0,286.0,164.0,1.74,Alpena,5,0
2026,October '25,2433.0,4197.0,2850.0,1347.0,703063.0,289.0,168.0,1.73,Alpena,5,0
2026,November '25,2409.0,4104.0,2818.0,1286.0,690503.0,287.0,168.0,1.7,Alpena,5,0
2026,December '25,2409.0,4080.0,2805.0,1275.0,678546.0,282.0,166.0,1.69,Alpena,5,0
2024,October '23,2469.0,4237.0,2860.0,1377.0,689952.0,279.0,163.0,1.72,Alpena,5,1
2024,November '23,2456.0,4216.0,2842.0,1374.0,693068.0,282.0,164.0,1.72,Alpena,5,1
2024,December '23,2464.0,4245.0,2858.0,1387.0,696469.0,283.0,164.0,1.72,Alpena,5,1
2024,January '24,2450.0,4226.0,2840.0,1386.0,674670.0,275.0,160.0,1.72,Alpena,5,1
2024,February '24,2449.0,4248.0,2850.0,1398.0,667167.0,272.0,157.0,1.73,Alpena,5,1
2024,March '24,2452.0,4238.0,2849.0,1389.0,669683.0,273.0,158.0,1.73,Alpena,5,1
2024,April '24,2431.0,4228.0,2834.0,1394.0,672620.0,277.0,159.0,1.74,Alpena,5,1
2024,May '24,2394.0,4164.0,2795.0,1369.0,659997.0,276.0,159.0,1.74,Alpena,5,1
2024,June '24,2418.0,4224.0,2832.0,1392.0,659997.0,273.0,156.0,1.75,Alpena,5,1
2024,July '24,2440.0,4251.0,2862.0,1389.0,674977.0,277.0,159.0,1.74,Alpena,5,1
2024,August '24,2426.0,4199.0,2833.0,1366.0,665467.0,274.0,158.0,1.73,Alpena,5,1
2024,September '24,2427.0,4207.0,2844.0,1363.0,670391.0,276.0,159.0,1.73,Alpena,5,1
2025,October '24,2431.0,4223.0,2862.0,1361.0,665281.0,274.0,158.0,1.74,Alpena,5,1
2025,November '24,2430.0,4180.0,2845.0,1335.0,669385.0,275.0,160.0,1.72,Alpena,5,1
2025,December '24,2456.0,4209.0,2869.0,1340.0,677358.0,276.0,161.0,1.71,Alpena,5,1
2025,January '25,2479.0,4251.0,2885.0,1366.0,676394.0,273.0,159.0,1.71,Alpena,5,1
2025,February '25,2490.0,4270.0,2909.0,1361.0,677253.0,272.0,159.0,1.71,Alpena,5,1
2025,March '25,2517.0,4328.0,2947.0,1381.0,672879.0,267.0,155.0,1.72,Alpena,5,1
2025,April '25,2490.0,4270.0,2925.0,1345.0,704807.0,283.0,165.0,1.71,Alpena,5,1
2025,May '25,2467.0,4226.0,2899.0,1327.0,663987.0,269.0,157.0,1.71,Alpena,5,1
2025,June '25,2466.0,4227.0,2889.0,1338.0,679053.0,275.0,161.0,1.71,Alpena,5,1
2025,July '25,2423.0,4170.0,2844.0,1326.0,684246.0,282.0,164.0,1.72,Alpena,5,1
2025,August '25,2443.0,4245.0,2876.0,1369.0,696463.0,285.0,164.0,1.74,Alpena,5,1
2025,September '25,2450.0,4264.0,2880.0,1384.0,700048.0,286.0,164.0,1.74,Alpena,5,1
2026,October '25,2433.0,4197.0,2850.0,1347.0,703063.0,289.0,168.0,1.73,Alpena,5,1
2026,November '25,2409.0,4104.0,2818.0,1286.0,690503.0,287.0,168.0,1.7,Alpena,5,1
2026,December '25,2409.0,4080.0,2805.0,1275.0,678546.0,282.0,166.0,1.69,Alpena,5,1
2024,October '23,1171.0,2212.0,1423.0,789.0,353992.0,302.0,160.0,1.89,Antrim,6,0
2024,November '23,1172.0,2223.0,1425.0,798.0,353551.0,302.0,159.0,1.9,Antrim,6,0
2024,December '23,1183.0,2272.0,1452.0,820.0,363085.0,307.0,160.0,1.92,Antrim,6,0
2024,January '24,1187.0,2306.0,1465.0,841.0,359712.0,303.0,156.0,1.94,Antrim,6,0
2024,February '24,1181.0,2253.0,1436.0,817.0,357131.0,302.0,159.0,1.91,Antrim,6,0
2024,March '24,1177.0,2234.0,1417.0,817.0,359855.0,306.0,161.0,1.9,Antrim,6,0
2024,April '24,1155.0,2162.0,1391.0,771.0,353935.0,306.0,164.0,1.87,Antrim,6,0
2024,May '24,1135.0,2132.0,1369.0,763.0,350535.0,309.0,164.0,1.88,Antrim,6,0
2024,June '24,1148.0,2184.0,1394.0,790.0,348177.0,303.0,159.0,1.9,Antrim,6,0
2024,July '24,1132.0,2151.0,1370.0,781.0,343457.0,303.0,160.0,1.9,Antrim,6,0
2024,August '24,1150.0,2183.0,1393.0,790.0,345416.0,300.0,158.0,1.9,Antrim,6,0
2024,September '24,1155.0,2224.0,1408.0,816.0,351128.0,304.0,158.0,1.93,Antrim,6,0
2025,October '24,1148.0,2242.0,1410.0,832.0,357493.0,311.0,159.0,1.95,Antrim,6,0
2025,November '24,1149.0,2233.0,1417.0,816.0,356002.0,310.0,159.0,1.94,Antrim,6,0
2025,December '24,1156.0,2236.0,1419.0,817.0,356736.0,309.0,160.0,1.93,Antrim,6,0
2025,January '25,1200.0,2322.0,1473.0,849.0,366644.0,306.0,158.0,1.94,Antrim,6,0
2025,February '25,1213.0,2357.0,1489.0,868.0,381183.0,314.0,162.0,1.94,Antrim,6,0
2025,March '25,1204.0,2353.0,1483.0,870.0,377228.0,313.0,160.0,1.95,Antrim,6,0
2025,April '25,1200.0,2378.0,1480.0,898.0,384355.0,320.0,162.0,1.98,Antrim,6,0
2025,May '25,1199.0,2388.0,1485.0,903.0,378186.0,315.0,158.0,1.99,Antrim,6,0
2025,June '25,1172.0,2299.0,1446.0,853.0,365038.0,311.0,159.0,1.96,Antrim,6,0
2025,July '25,1153.0,2279.0,1427.0,852.0,363394.0,315.0,159.0,1.98,Antrim,6,0
2025,August '25,1125.0,2188.0,1382.0,806.0,354462.0,315.0,162.0,1.94,Antrim,6,0
2025,September '25,1116.0,2159.0,1370.0,789.0,351213.0,315.0,163.0,1.93,Antrim,6,0
2026,October '25,1107.0,2093.0,1346.0,747.0,345784.0,312.0,165.0,1.89,Antrim,6,0
2026,November '25,1088.0,2069.0,1324.0,745.0,339349.0,312.0,164.0,1.9,Antrim,6,0
2026,December '25,1084.0,2096.0,1326.0,770.0,338009.0,312.0,161.0,1.93,Antrim,6,0
2024,October '23,1171.0,2212.0,1423.0,789.0,353992.0,302.0,160.0,1.89,Antrim,6,1
2024,November '23,1172.0,2223.0,1425.0,798.0,353551.0,302.0,159.0,1.9,Antrim,6,1
2024,December '23,1183.0,2272.0,1452.0,820.0,363085.0,307.0,160.0,1.92,Antrim,6,1
2024,January '24,1187.0,2306.0,1465.0,841.0,359712.0,303.0,156.0,1.94,Antrim,6,1
2024,February '24,1181.0,2253.0,1436.0,817.0,357131.0,302.0,159.0,1.91,Antrim,6,1
2024,March '24,1177.0,2234.0,1417.0,817.0,359855.0,306.0,161.0,1.9,Antrim,6,1
2024,April '24,1155.0,2162.0,1391.0,771.0,353935.0,306.0,164.0,1.87,Antrim,6,1
2024,May '24,1135.0,2132.0,1369.0,763.0,350535.0,309.0,164.0,1.88,Antrim,6,1
2024,June '24,1148.0,2184.0,1394.0,790.0,348177.0,303.0,159.0,1.9,Antrim,6,1
2024,July '24,1132.0,2151.0,1370.0,781.0,343457.0,303.0,160.0,1.9,Antrim,6,1
2024,August '24,1150.0,2183.0,1393.0,790.0,345416.0,300.0,158.0,1.9,Antrim,6,1
2024,September '24,1155.0,2224.0,1408.0,816.0,351128.0,304.0,158.0,1.93,Antrim,6,1
2025,October '24,1148.0,2242.0,1410.0,832.0,357493.0,311.0,159.0,1.95,Antrim,6,1
2025,November '24,1149.0,2233.0,1417.0,816.0,356002.0,310.0,159.0,1.94,Antrim,6,1
2025,December '24,1156.0,2236.0,1419.0,817.0,356736.0,309.0,160.0,1.93,Antrim,6,1
2025,January '25,1200.0,2322.0,1473.0,849.0,366644.0,306.0,158.0,1.94,Antrim,6,1
2025,February '25,1213.0,2357.0,1489.0,868.0,381183.0,314.0,162.0,1.94,Antrim,6,1
2025,March '25,1204.0,2353.0,1483.0,870.0,377228.0,313.0,160.0,1.95,Antrim,6,1
2025,April '25,1200.0,2378.0,1480.0,898.0,384355.0,320.0,162.0,1.98,Antrim,6,1
2025,May '25,1199.0,2388.0,1485.0,903.0,378186.0,315.0,158.0,1.99,Antrim,6,1
2025,June '25,1172.0,2299.0,1446.0,853.0,365038.0,311.0,159.0,1.96,Antrim,6,1
2025,July '25,1153.0,2279.0,1427.0,852.0,363394.0,315.0,159.0,1.98,Antrim,6,1
2025,August '25,1125.0,2188.0,1382.0,806.0,354462.0,315.0,162.0,1.94,Antrim,6,1
2025,September '25,1116.0,2159.0,1370.0,789.0,351213.0,315.0,163.0,1.93,Antrim,6,1
2026,October '25,1107.0,2093.0,1346.0,747.0,345784.0,312.0,165.0,1.89,Antrim,6,1
2026,November '25,1088.0,2069.0,1324.0,745.0,339349.0,312.0,164.0,1.9,Antrim,6,1
2026,December '25,1084.0,2096.0,1326.0,770.0,338009.0,312.0,161.0,1.93,Antrim,6,1
